// ===== SPIRITS =====
#Spirits|Canadian Whisky|Liquor Store
Crown Royal|375ml|19.95
Crown Royal|750ml|31.45
Crown Royal|1.14L|47.95
Crown Royal|1.75L|70.95
Crown Royal|3L|143.45
Crown Royal Black|750ml|37.95
Crown Royal Black|1.14L|49.95
Crown Royal Blackberry|750ml|34.95
Crown Royal Vanilla|750ml|34.95
Crown Royal Chocolate|750ml|35.00
Crown Royal Peach|750ml|34.95
Crown Royal Apple|375ml|19.95
Crown Royal Apple|750ml|32.95
Crown Royal Rye|750ml|37.95
Crown Royal XO|750ml|79.45
Crown Royal Reserve 12 Year|750ml|59.95
Crown Royal Extra Rare 18 Year|750ml|209.95
Canadian Club|200ml|9.90
Canadian Club|375ml|17.50
Canadian Club|750ml|31.15
Canadian Club|1.14L|46.85
Canadian Club|1.75L|69.95
Canadian Club|3L|142.95
Canadian Club 12 Year|375ml|19.50
Canadian Club 12 Year|750ml|35.05
Canadian Club 12 Year|1.14L|47.40
Canadian Club 12 Year|1.75L|71.55
Canadian Club 100% Rye|375ml|18.40
Canadian Club 100% Rye|750ml|31.15
Canadian Club 100% Rye|1.14L|48.95
J.P. Wiser|200ml|9.95
J.P. Wiser|375ml|18.95
J.P. Wiser|750ml|31.45
J.P. Wiser|1.14L|47.95
J.P. Wiser|1.75L|70.95
J.P. Wiser|3L|142.95
J.P. Wiser Old Fashioned|750ml|33.95
J.P. Wiser 10 Year|750ml|34.95
J.P. Wiser 15 Year|750ml|56.95
J.P. Wiser 18 Year|750ml|93.25
J.P. Wiser 24 Year|750ml|266.95
J.P. Wiser 28 Year|750ml|328.30
J.P. Wiser Apple|750ml|32.95
J.P. Wiser Vanilla|750ml|32.95
Wiser's Special Blend|375ml|17.50
Wiser's Special Blend|750ml|31.15
Wiser's Special Blend|1.14L|46.85
Wiser's Special Blend|1.75L|69.95
Caribou Crossing Single Barrel|750ml|99.95
Bearface Triple Oak|750ml|36.95
White Owl|750ml|39.95
Distl Canadian Whiskey|750ml|37.40
Maverick Barnburner|750ml|35.95
Lot No.40 Single Copper Pot|750ml|42.95
Lot No.40 Dark Oak|750ml|58.25
Mandakini Malabar Desi Daaru|750ml|39.95
Walker's Special Old|750ml|31.15
Stalk & Barrel|750ml|31.95
Sortilege Blueberry|750ml|35.95
Beaver's Dram Premium Whisky|750ml|49.95
Beaver's Dram Premium Northern Corn|750ml|44.90
Centennial 10 Year Limited Rye Edition|750ml|32.10
SFR Scamp's Reward Whisky|750ml|44.95
Golden Wedding|1.75L|64.95
Collingwood Whisky|750ml|34.95
Dillon's Rye|750ml|49.95
Spring Mill John Sleeman & Sons Rye|750ml|44.95
High River Canadian Whisky|750ml|35.95
Spicebox Chocolate Whisky|750ml|32.45
Alberta Premium|200ml|9.90
Alberta Premium|375ml|17.50
Alberta Premium|750ml|31.15
Alberta Premium|1.14L|46.85
Alberta Premium|1.75L|69.95
Alberta Premium 9 Year Golden Rye|750ml|37.95
Alberta Premium Batch 10 Legacy Reserve|750ml|69.95
Alberta Premium Cask Strength 10 Year|750ml|74.95
Gibson's Finest Rare 12 Year|375ml|19.95
Gibson's Finest Rare 12 Year|750ml|35.95
Gibson's Finest Rare 12 Year|1.14L|47.95
Gibson's Finest Rare 12 Year|1.75L|74.95
Gibson's Finest Bold 8 Year|750ml|34.95
Forty Creek Barrel Select|200ml|9.95
Forty Creek Barrel Select|375ml|17.95
Forty Creek Barrel Select|750ml|32.95
Forty Creek Barrel Select|1.14L|47.95
Forty Creek Barrel Select|1.75L|70.95
Forty Creek Double Barrel Reserve|750ml|42.95
Forty Creek Honey Spiced|750ml|32.85
Forty Creek Copper Bold|750ml|36.75
Forty Creek Copper Bold|1.14L|52.45
Forty Creek Confederation Oak Reserve|750ml|74.10
Wayne Gretzky Red Cask|375ml|19.95
Wayne Gretzky Red Cask|750ml|34.95
Wayne Gretzky Red Cask|1.14L|49.95
Wayne Gretzky Double Barrel Oaked|750ml|37.95
Seagram's VO Select|750ml|33.95
Seagram's VO|750ml|31.45
Seagram's 83|750ml|29.95
Seagram's 83|1.75L|69.95
#Spirits|Irish Whisky|Liquor Store
Jameson Irish|200ml|12.75
Jameson Family Miniature Pack 3x50ml|150ml|14.95
Jameson Irish|375ml|22.50
Jameson Irish|750ml|42.75
Jameson Irish|1.14L|56.00
Jameson Irish|1.75L|83.95
Jameson Triple Triple|750ml|49.95
Jameson Black Barrel|750ml|57.95
Jameson Caskmates Stout|750ml|46.75
Jameson IPA Caskmates|750ml|46.70
Teeling Small Batch|750ml|51.95
Glendalough Double Barrel|750ml|49.95
Bushmills|750ml|35.95
Bushmills Black Bush|750ml|40.95
Bushmills Malt 10 Year|750ml|53.95
Bushmills 16 Year|750ml|150.75
